"Tipo normativo"	"Norma"	"Publicação"	"Ementa"	"Data"	"Em vigor"	"Revogada"	"Tornada sem efeito"	"Alterada"	"Outros"	"Anexos"
"Medida Provisória"	"Medida Provisória n° 551, de 22/11/2011"	"DOU N° 224, S/1, p. 1-2, 23/11/2011"	"Altera dispositivos das Leis n° 7.920, de 12 de dezembro de 1989, n° 9.825, de 23 de agosto de 1999, n° 8.399, de 7 de janeiro de 1992, n° 6.009, de 26 de dezembro de 1973, n° 5.862, de 12 de dezembro de 1972, n° 12.462, de 5 de agosto de 2011; e dá outras providências."	"22/11/2011"	""	""	""	""	""	"https://portalhomolog2.anac.gov.br/assuntos/legislacao/legislacao-1/medidas-provisorias/medida-provisoria-ndeg-551-de-22-11-2011@@download/arquivo_norma/MPV 551 2011.pdf"
"Medida Provisória"	"Medida Provisória n° 527, de 18/03/2011"	"DOU N° 53-A, Seção 1 – Edição Extra, p. 1-3, de 18/03/2011 "	"Altera a Lei no 10.683, de 28 de maio de 2003, que dispõe sobre a organização da Presidência da República e dos Ministérios, cria a Secretaria de Aviação Civil, altera a legislação da Agência Nacional de Aviação Civil - ANAC e da Empresa Brasileira de Infraestrutura Aeroportuária -INFRAERO, cria cargos de Ministro de Estado e cargos em comissão, dispõe sobre a contratação de controladores de tráfego aéreo temporários, cria cargos de Controlador de Tráfego Aéreo."	"18/03/2011"	""	""	""	""	""	"https://portalhomolog2.anac.gov.br/assuntos/legislacao/legislacao-1/medidas-provisorias/medida-provisoria-ndeg-527-de-18-03-2011@@download/arquivo_norma/MPV 527.pdf"
