ementa,norma,tornada_sem_efeito,alterada,data,outros,tipo_normatico,publicacao,revogada,em_vigor,anexos,tags
Renova a inscrição do Heliponto Privado WF (SC) no cadastro de aeródromos.,"PORTARIA Nº 4585/SIA, 22/03/2021",,,2021-03-22,,Portaria,"DOU 06/04/2021, Seção 1, pág.66",,,https://www.anac.gov.br/assuntos/legislacao/legislacao-1/portarias/2021/portaria-no-4585-sia-22-03-2021/@@display-file/arquivo_norma/PA2021-4585-%20Com%20OBS%20.pdf,['portaria']
Renova e altera a inscrição do Heliponto Privado C.T.O. Itaú (SP) no cadastro de aeródromos.,"PORTARIA Nº 4567/SIA, 22/03/2021",,,2021-03-22,,Portaria,"DOU 29/03/2021, Seção 1, pág.89",,,https://www.anac.gov.br/assuntos/legislacao/legislacao-1/portarias/2021/portaria-no-4567-sia-22-03-2021/@@display-file/arquivo_norma/PA2021-4567-%20Com%20OBS%20.pdf,"['alteração', 'portaria']"
Renova e altera a inscrição do Heliponto Privado C.T.O. Itaú (SP) no cadastro de aeródromos.,"PORTARIA Nº 4567/SIA, 22/03/2021",,,2021-03-22,,Portaria,"DOU 06/04/2021, Seção 1, pág.66",,,https://www.anac.gov.br/assuntos/legislacao/legislacao-1/portarias/2021/portaria-no-4567-sia-22-03-2021-1/@@display-file/arquivo_norma/PA2021-4567.pdf,"['alteração', 'portaria']"
Renova e altera a inscrição do Heliponto Privado Condomínio Jacumã Ocean Resort (BA) no cadastro de aeródromos.,"PORTARIA Nº 4584/SIA, 22/03/2021",,,2021-03-22,,Portaria,"DOU 26/03/2021, Seção 1, pág.77",,,https://www.anac.gov.br/assuntos/legislacao/legislacao-1/portarias/2021/portaria-no-4584-sia-22-03-2021/@@display-file/arquivo_norma/PA2021-4584-%20Com%20OBS%20.pdf,"['alteração', 'portaria']"
Renova e altera a inscrição do Heliponto Privado Panamérica Park (SP) no cadastro de aeródromos.,"PORTARIA Nº 4592/SIA, 22/03/2021",,,2021-03-22,,Portaria,"DOU 29/03/2021, Seção 1, pág.89","Portaria nº 17.511/SIA, de 23.07.2025",,https://www.anac.gov.br/assuntos/legislacao/legislacao-1/portarias/2021/portaria-no-4592-sia-22-03-2021/@@display-file/arquivo_norma/PA2021-4592.pdf,"['alteração', 'portaria']"
"Revoga, a pedido, as homologações dos cursos teóricos de PPA e PPH do Aeroclube de São José dos Campos.","PORTARIA Nº 4572/SPL, 22/03/2021",,,2021-03-22,,Portaria,"DOU 26/03/2021, Seção 1, pág.78",,,https://www.anac.gov.br/assuntos/legislacao/legislacao-1/portarias/2021/portaria-no-4572-spl-22-03-2021/@@display-file/arquivo_norma/PA2021-4572.pdf,['portaria']
"Revoga, a pedido, das homologações dos cursos teóricos de PPA, PC/IFR, INVA e IFR do Aeroclube de Alagoas.","PORTARIA Nº 4578/SPL, 22/03/2021",,,2021-03-22,,Portaria,"DOU 26/03/2021, Seção 1, pág.78",,,https://www.anac.gov.br/assuntos/legislacao/legislacao-1/portarias/2021/portaria-no-4578-spl-22-03-2021/@@display-file/arquivo_norma/PA2021-4578.pdf,['portaria']
Torna pública a emissão de revisão do Certificado de Operador Aéreo - Anápolis Aviação Agrícola Ltda.,"PORTARIA Nº 4588/SPO, 22/03/2021",,,2021-03-22,,Portaria,"DOU 25/03/2021, Seção 1, pág.116",,,https://www.anac.gov.br/assuntos/legislacao/legislacao-1/portarias/2021/portaria-no-4588-spo-22-03-2021/@@display-file/arquivo_norma/PA2021-4588.pdf,['portaria']
Torna pública a emissão de revisão do Certificado de Operador Aéreo - DPA Aviação Agrícola Ltda.,"PORTARIA Nº 4568/SPO, 22/03/2021",,,2021-03-22,,Portaria,"DOU 25/03/2021, Seção 1, pág.116",,,https://www.anac.gov.br/assuntos/legislacao/legislacao-1/portarias/2021/portaria-no-4568-spo-22-03-2021/@@display-file/arquivo_norma/PA2021-4568.pdf,['portaria']
"Torna pública a emissão do Certificado de CIAC e revoga os cursos teóricos de INVA, PC/IFR, IFR e PPA da Grid Ensino Ltda.","PORTARIA Nº 4574/SPL, 22/03/2021",,,2021-03-22,,Portaria,"DOU 26/03/2021, Seção 1, pág.78",,,https://www.anac.gov.br/assuntos/legislacao/legislacao-1/portarias/2021/portaria-no-4574-spl-22-03-2021/@@display-file/arquivo_norma/PA2021-4574.pdf,['portaria']
