ementa,norma,tornada_sem_efeito,alterada,data,outros,tipo_normatico,publicacao,revogada,em_vigor,anexos,tags
Aprova a revisão do Programa de Governança em Privacidade - PGP da ANAC,"PORTARIA Nº 19806, 14/08/2026",,,2028-08-14,,Portaria,"BPS V.21, Nº 33, 18/08/2026",,, https://www.anac.gov.br/assuntos/legislacao/legislacao-1/portarias/2026/portaria-19806/@@display-file/anexo_norma/Anexo.pdf,"['aprovação', 'portaria']"
"Procedimentos aceitáveis para determinação do nível adequado de serviço de prevenção, salvamento e combate a incêndio em aeródromos civis",IS 91-017A,,,2027-07-13,,IS,16/07/2026,,,,['']
Inscreve no cadastro o heliponto de uso privativo a bordo da unidade PETROBRAS 66 (9PRB),"PORTARIA Nº18380/SIA, 08/12/2025",,,2026-12-08,,Portaria,"DOU 11/12/2025, Seção 1, pág. 84",,,,['portaria']
Inscreve o Heliponto de uso privativo ao nível do solo CIAD GO0405 no cadastro de aeródromos,"PORTARIA Nº 17831/SIA, 08/09/2025",,,2026-09-08,,Portaria,"DOU 15/09/2025, Seção 1, pág. 79",,,,['portaria']
Inscreve no cadastro o heliponto privado a bordo da unidade SIEM HELIX 2 (9PXL),"PORTARIA Nº 19877/SIA, 25/08/2026",,,2026-08-25,,Portaria,"DOU 28/08/2026, Seção 1, pág. 122",,,,['portaria']
"Altera as Decisões nºs 533, 534 e 535, de 7 de junho de 2022","DECISÃO Nº 752, 24/08/2026",,,2026-08-24,,Decisão,"DOU 25/08/2026, Seção 1, pág. 143",,,,"['alteração', 'decisão']"
"Altera a Portaria  nº 2.893, de 16 de setembro de 2019","PORTARIA Nº 19859, 24/08/2026",,,2026-08-24,,Portaria,"BPS V.21, Nº 34, 25/08/2026",,,,"['2.893', 'alteração', 'portaria']"
"Altera a Portaria nº 2.892, de 16 de setembro de 2019","PORTARIA Nº 19858, 24/08/2026",,,2026-08-24,,Portaria,"BPS V.21, Nº 34, 25/08/2026",,,,"['2.892', 'alteração', 'portaria']"
Designa Gestor de Contrato,"PORTARIA Nº 19861/SAF, 24/08/2026",,,2026-08-24,,Portaria,"BPS V.21, Nº 34, 25/08/2026",,,,['portaria']
"Reajusta os tetos das tarifas aeroportuárias aplicáveis ao Aeroporto de Jericoacoara – Comandante Ariston Pessoa, localizado no Município de Cruz (CE), incluído no Contrato de Concessão de Aeroporto – CCA nº 004/ANAC/2017 – SBFZ, por força do Décimo Primeiro Termo Aditivo, que trata do Programa de Investimentos Privados em Aeroportos Regionais – AmpliAR.","PORTARIA Nº 19866/SRA, 24/08/2026",,,2026-08-24,,Portaria,"DOU 28/08/2026, Seção 2, pág. 125",,,,['portaria']
"Reajusta os tetos das tarifas aeroportuárias aplicáveis ao Contrato de Concessão do Aeroporto Internacional de Fortaleza – Pinto Martins, localizado no Município de Fortaleza (CE)","PORTARIA Nº 19864/SRA, 24/08/2026",,,2026-08-24,,Portaria,"DOU 28/08/2026, Seção 2, pág. 122 e 123",,,,['portaria']
"Reajusta os tetos das tarifas aeroportuárias aplicáveis ao Contrato de Concessão do Aeroporto Internacional de Porto Alegre – Salgado Filho, localizado no Município de Porto Alegre (RS).","PORTARIA Nº 19865/SRA, 24/08/2026",,,2026-08-24,,Portaria,"DOU 28/08/2026, Seção 2, pág. 123 a 125",,,,['portaria']
Aprova manuais de procedimento da SAG,"PORTARIA Nº 19856/SAG,  22/08/2026",,,2026-08-22,,Portaria,"BPS V.21, Nº 34, 25/08/2026",,, https://www.anac.gov.br/assuntos/legislacao/legislacao-1/portarias/2026/portaria-19856/@@display-file/anexo_norma/Anexo.zip,"['aprovação', 'portaria']"
Aeronavegabilidade continuada e melhorias na segurança para aviões categoria transporte.,RBAC 26 EMD 07,,,2026-08-21,,RBAC,21/08/2026,,,,['rbac']
Inscreve o Aeródromo de uso privativo CIAD MT1197 no cadastro de aeródromos,"PORTARIA Nº 19846/SIA, 20/08/2026",,,2026-08-20,,Portaria,"DOU 26/08/2026, Seção 1, pág. 67",,,,['portaria']
Inscreve o Aeródromo de uso privativo CIAD PA0455 no cadastro de aeródromos,"PORTARIA Nº 19849/SIA, 20/08/2026",,,2026-08-20,,Portaria,"DOU 26/08/2026, Seção 1, pág. 67",,,,['portaria']
Prorroga Comissão de Processo Administrativo Disciplinar,"PORTARIA Nº 19852/CRG, 20/08/2026",,,2026-08-20,,Portaria,"BPS V.21, Nº 34, 25/08/2026",,,,['portaria']
Reconduz Comissão de Processo Administrativo Disciplinar,"PORTARIA Nº 19850/CRG, 20/08/2026",,,2026-08-20,,Portaria,"BPS V.21, Nº 34, 25/08/2026",,,,['portaria']
Reconduz Comissão de Processo Administrativo Disciplinar,"PORTARIA Nº 19851/CRG, 20/08/2026",,,2026-08-20,,Portaria,"BPS V.21, Nº 34, 25/08/2026",,,,['portaria']
Reconduz Comissão de Processo Administrativo Disciplinar,"PORTARIA Nº 19853/CRG, 20/08/2026",,,2026-08-20,,Portaria,"BPS V.21, Nº 34, 25/08/2026",,,,['portaria']
Inscreve no cadastro o heliponto privado a bordo da unidade FPSO CIDADE DE MANGARATIBA MV24 (9PIV),"PORTARIA Nº 19839/SIA, 19/08/2026",,,2026-08-19,,Portaria,"DOU 25/08/2026, Seção 1, pág. 143",,,,['portaria']
Inscreve no cadastro o heliponto privado a bordo da unidade SAPURA TOPAZIO (9PIX),"PORTARIA Nº 19841/SIA, 19/08/2026",,,2026-08-19,,Portaria,"DOU 25/08/2026, Seção 1, pág. 143",,,,['portaria']
Inscreve o Aeródromo de uso privativo CIAD MT1196 no cadastro de aeródromos.,"PORTARIA Nº 19838/SIA, 19/08/2026",,,2026-08-19,,Portaria,"DOU 26/08/2026, Seção 1, pág. 67",,,,['portaria']
Inscreve o Aeródromo de uso privativo CIAD PA0453 no cadastro de aeródromos,"PORTARIA Nº 19834/SIA, 19/08/2026",,,2026-08-19,,Portaria,"DOU 26/08/2026, Seção 1, pág. 67",,,,['portaria']
Inscreve o Aeródromo de uso privativo CIAD RO0124 no cadastro de aeródromos,"PORTARIA Nº 19842/SIA, 19/08/2026",,,2026-08-19,,Portaria,"DOU 26/08/2026, Seção 1, pág. 67",,,,['portaria']
Inscreve o Aeródromo de uso privativo CIAD SP1528 no cadastro de aeródromos,"PORTARIA Nº 19843/SIA, 19/08/2026",,,2026-08-19,,Portaria,"DOU 26/08/2026, Seção 1, pág. 67",,,,['portaria']
Inscreve o Heliponto de uso privativo elevado CIAD SP1518 no cadastro de aeródromos,"PORTARIA Nº 19845/SIA, 19/08/2026",,,2026-08-19,,Portaria,"DOU 26/08/2026, Seção 1, pág. 67",,,,['portaria']
Torna pública a suspensão a pedido do Certificado de Operador Aéreo Empresa CHOSEN TÁXI AÉREO LTDA.,"PORTARIA Nº 19835/SPO, 19/08/2026",,,2026-08-19,,Portaria,"DOU 21/08/2026, Seção 1, pág. 68",,,,['portaria']
Torna pública a suspensão a pedido do Certificado de Operador Aéreo Empresa HELIVIP SERVIÇOS EM AERONÁUTICA LTDA.,"PORTARIA Nº 19837/SPO, 19/08/2026",,,2026-08-19,,Portaria,"DOU 21/08/2026, Seção 1, pág. 68",,,,['portaria']
Torna pública a suspensão de Certificado de Organização de Manutenção.,"PORTARIA Nº 19844/SPO, 19/08/2026",,,2026-08-19,,Portaria,"DOU 24/08/2026, Seção 1, pág. 69",,,,['portaria']
"Concede Certificado Operacional Provisório de Aeroporto à FRAPORT BRASIL S.A. AEROPORTO DE FORTALEZA, operadora do Aeroporto Comandante Ariston Pessoa, código OACI: SBJE, código CIAD: CE0003, localizado em Cruz (CE)","PORTARIA Nº 19827/SIA, 18/08/2026",,,2026-08-18,,Portaria,"DOU 24/08/2026, Seção 1, pág. 68",,,,['portaria']
Inscreve o Aeródromo de uso privativo CIAD MT1194 no cadastro de aeródromos,"PORTARIA Nº 19828/SIA, 18/08/2026",,,2026-08-18,,Portaria,"DOU 25/08/2026, Seção 1, pág. 143",,,,['portaria']
Inscreve o Aeródromo de uso privativo CIAD MT1196 no cadastro de aeródromos,"PORTARIA Nº 19833/SIA, 18/08/2026",,,2026-08-18,,Portaria,"DOU 26/08/2026, Seção 1, pág. 67",,,,['portaria']
Prorroga a validade do concurso púbico para o provimento de vagas e a formação de cadastro de reserva no cargo de Especialista em Regulação de Aviação Civil da ANAC,"PORTARIA Nº 19832, 18/08/2026",,,2026-08-18,,Portaria,"DOU 21/08/2026, Seção 1, pág. 68",,,,['portaria']
Torna pública a suspensão de Certificado de Organização de Manutenção,"PORTARIA Nº 19829/SPO, 18/08/2026",,,2026-08-18,,Portaria,"DOU 21/08/2026, Seção 1, pág. 68",,,,['portaria']
Tornar pública a medida cautelar de suspensão parcial do COA nº 2022-01-00JW-01-02,"PORTARIA Nº 19831/SAG, 18/08/2026",,,2026-08-18,,Portaria,"DOU 21/08/2026, Seção 1, págs. 68 e 69",,,,['portaria']
Aprova emendas ao RBAC nº 26,"RESOLUÇÃO Nº 810, 18/08/2026",,,2026-08-18,,Resolução,"DOU 21/08/2026, Seção 1, pág.68",,,,"['aprovação', 'rbac']"
Altera a distribuição de cargos comissionados e de funções comissionadas da Agência Nacional de Aviação Civil - ANAC,"PORTARIA Nº 19820, 17/08/2026",,,2026-08-17,,Portaria,"BPS V.21, Nº 33, 19/08/2026",,,,"['alteração', 'portaria']"
Altera a inscrição do Aeródromo de uso privativo CIAD BA0399 no cadastro de aeródromos.,"PORTARIA Nº 19816/SIA, 17/08/2026",,,2026-08-17,,Portaria,"DOU 24/08/2026, Seção 1, pág. 69",,,,"['alteração', 'portaria']"
Altera o quantitativo de cargos comissionados e de funções comissionadas da Agência Nacional de Aviação Civil - ANAC,"PORTARIA Nº 19819, 17/08/2026",,,2026-08-17,,Portaria,"DOU 19/08/2026, Seção 1, págs. 65-66",,,,"['alteração', 'portaria']"
Estende as prerrogativas de Mecânico de Manutenção Aeronáutica - MMA Examinador Credenciado vinculado à Organização de Manutenção - OMA,"PORTARIA Nº 19821/SPL, 17/08/2026",,,2026-08-17,,Portaria,"DOU 20/08/2026, Seção 1, pág. 57",,,,['portaria']
Inscreve o Heliponto de uso privativo ao nível do solo CIAD RJ0406 no cadastro de aeródromos,"PORTARIA Nº 19817/SIA, 17/08/2026",,,2026-08-17,,Portaria,"DOU 25/08/2026, Seção 1, pág. 143",,,,['portaria']
Tornar pública a medida cautelar de suspensão parcial do COA nº 2023-12-00QT-10-01,"PORTARIA Nº 19822/SAG, 17/08/2026",,,2026-08-17,,Portaria,"DOU 20/08/2026, Seção 1, pág. 57",,,,['portaria']
Tornar pública a medida cautelar de suspensão parcial do COA nº 2024-11-00UC-01-00/ANAC,"PORTARIA Nº 19826/SAG, 17/08/2026",,,2026-08-17,,Portaria,"DOU 20/08/2026, Seção 1, pág. 57",,,,['portaria']
Tornar pública a medida cautelar de suspensão parcial do COA nº 2025-10-00UQ-11-00/ANAC,"PORTARIA Nº 19823/SAG, 17/08/2026",,,2026-08-17,,Portaria,"DOU 20/08/2026, Seção 1, pág. 57",,,,['portaria']
Altera a inscrição do Heliponto de uso privativo elevado CIAD SP0311 no cadastro de aeródromos.,"PORTARIA Nº 19811/SIA, 14/08/2026",,,2026-08-14,,Portaria,"DOU 24/08/2026, Seção 1, pág. 68",,,,"['alteração', 'portaria']"
Atualiza a composição do Subcomitê de Plano Setorial de Gestão de Incidentes Cibernéticos do Comitê de Segurança Cibernética no âmbito da ANAC,"PORTARIA Nº 19803/SIA, 14/08/2026",,,2026-08-14,,Portaria,"BPS V.21, Nº 33, 19/08/2026",,,,['portaria']
Defere o pedido de Nível Equivalente de Segurança Operacional ao parágrafo 67.19(a) do RBAC nº 67 em favor de Helisul Táxi Aéreo Ltda.,"PORTARIA Nº 19802/SPL, 14/08/2026",,,2026-08-14,,Portaria,"DOU 18/08/2026, Seção 1, pág. 108",,,,"['67.19', 'nível equivalente de segurança', 'portaria', 'rbac']"
Designa servidor Responsável pelo Planejamento da Contratação,"PORTARIA Nº 19810/SAF, 14/08/2026",,,2026-08-14,,Portaria,"BPS V.21, Nº 33, 18/08/2026",,,,['portaria']
Estende as prerrogativas de Mecânico de Manutenção Aeronáutica - MMA Examinador Credenciado vinculado à Organização de Manutenção - OMA,"PORTARIA Nº 19805/SPL, 14/08/2026",,,2026-08-14,,Portaria,"DOU 20/08/2026, Seção 1, pág. 57",,,,['portaria']
Exclui o Aeródromo de uso privativo Aeródromo Campo Primavera (PR) no cadastro de aeródromos,"PORTARIA Nº 19812/SIA, 14/08/2026",,,2026-08-14,,Portaria,"DOU 20/08/2026, Seção 1, pág. 57",,,,['portaria']
Inscreve o Aeródromo de uso privativo CIAD MA0219 no cadastro de aeródromos,"PORTARIA Nº 19801/SIA, 14/08/2026",,,2026-08-14,,Portaria,"DOU 20/08/2026, Seção 1, pág. 57",,,,['portaria']
Publica ação administrativa de cassação de licenças e habilitações técnicas,"PORTARIA Nº 19814/SPL, 14/08/2026",,,2026-08-14,,Portaria,"DOU 19/08/2026, Seção 1, pág. 66",,,,['portaria']
Torna pública a revogação da suspensão do Certificado de Organização de Manutenção da SERTTA TECNOLOGIA AERONAUTICA,"PORTARIA Nº 19807/SPO, 14/08/2026",,,2026-08-14,,Portaria,"DOU 19/08/2026, Seção 1, pág. 66",,,,['portaria']
Designa Equipe de Planejamento da Contratação,"PORTARIA Nº 19797/SAF, 13/08/2026",,,2026-08-13,,Portaria,"BPS V.21, Nº 33, 17/08/2026",,,,['portaria']
Designa Equipe de Planejamento da Contratação,"PORTARIA Nº 19799/SAF, 13/08/2026",,,2026-08-13,,Portaria,"BPS V.21, Nº 33, 17/08/2026",,,,['portaria']
Inscreve o Aeródromo de uso privativo CIAD BA0537 no cadastro de aeródromos,"PORTARIA Nº 19795/SIA, 13/08/2026",,,2026-08-13,,Portaria,"DOU 20/08/2026, Seção 1, pág. 57",,,,['portaria']
Inscreve o Heliponto de uso privativo ao nível do solo CIAD AL0055 no cadastro de aeródromos,"PORTARIA Nº 19796/SIA, 13/08/2026",,,2026-08-13,,Portaria,"DOU 20/08/2026, Seção 1, pág. 57",,,,['portaria']
Revoga os Acordos de Cooperação celebrados entre as Superintendências,"PORTARIA Nº 19800/SAG, 13/08/2026",,,2026-08-13,,Portaria,"BPS V.21, Nº 33, 21/08/2026",,,,['portaria']
Torna pública a medida cautelar de suspensão do Certificado de Organização de Produção nº E-2025-10-01 emitido em favor da Aeromot Aeronaves e Motores S/A.,"PORTARIA Nº 19798/SAR, 13/08/2026",,,2026-08-13,,Portaria,"DOU 17/08/2026, Seção 1, pág. 78",,,,['portaria']
"Altera a Portaria nº 19.730/SAG, de 5 de agosto de 2026","PORTARIA Nº 19794/SAG, 12/08/2026",,,2026-08-12,,Portaria,"BPS V.21, Nº 33, 18/08/2026",,,,"['19.730', 'alteração', 'portaria']"
Altera a inscrição do Aeródromo de uso privativo CIAD MT0691 no cadastro de aeródromos,"PORTARIA Nº 19793/SIA, 12/08/2026",,,2026-08-12,,Portaria,"DOU 20/08/2026, Seção 1, pág. 57",,,,"['alteração', 'portaria']"
"Constitui o Comitê Avaliador e a Equipe Coordenadora, responsáveis pelos procedimentos de coordenação e administrativos do processo de indicação para o cargo de Assessor de Transporte Aéreo da Delegação Permanente do Brasil junto à Organização da Aviação Civil Internacional - OACI, relativos ao Edital nº 34/ANAC/2026","PORTARIA Nº 19790/ASINT, 12/08/2026",,,2026-08-12,,Portaria,"BPS V.21, Nº 33, 20/08/2026",,,,['portaria']
Inscreve o Aeródromo de uso privativo CIAD BA0536 no cadastro de aeródromos,"PORTARIA Nº 19787/SIA, 12/08/2026",,,2026-08-12,,Portaria,"DOU 19/08/2026, Seção 1, pág. 66",,,,['portaria']
Inscreve o Aeródromo de uso privativo CIAD MT0264 no cadastro de aeródromos,"PORTARIA Nº 19792/SIA, 12/08/2026",,,2026-08-12,,Portaria,"DOU 26/08/2026, Seção 1, pág. 67",,,,['portaria']
Torna pública a emissão de Certificado de Organização de Manutenção,"PORTARIA Nº 19789/SPO, 12/08/2026",,,2026-08-12,,Portaria,"DOU 17/08/2026, Seção 1, pág. 79",,,,['portaria']
"Altera a Portaria nº 2.166/SIA, de 11 de agosto de 2015","PORTARIA Nº 19779/SIA, 11/08/2026",,,2026-08-11,,Portaria,"DOU 14/08/2026, Seção 1, pág. 74",,,,"['2.166', 'alteração', 'portaria']"
"Aprova o Programa de Segurança Aeroportuária (Revisão 01) do Aeroporto Regional Sul (Código OACI: SBJA, Código CIAD: SC0005), localizado em Jaguaruna (SC)","PORTARIA Nº 19782/SIA, 11/08/2026",,,2026-08-11,,Portaria,"DOU 14/08/2026, Seção 1, pág. 74",,,,"['aprovação', 'portaria']"
Inscreve no cadastro o heliponto de uso privativo a bordo da unidade PLATAFORMA FIXA PARGO 1 (9PPR),"PORTARIA Nº 19778/SIA, 11/08/2026",,,2026-08-11,,Portaria,"DOU 13/08/2026, Seção 1, pág. 55",,,,['portaria']
Inscreve o Aeródromo de uso privativo CIAD MG0686 no cadastro de aeródromos,"PORTARIA Nº 19785/SIA, 11/08/2026",,,2026-08-11,,Portaria,"DOU 19/08/2026, Seção 1, pág. 66",,,,['portaria']
Inscreve o Aeródromo de uso privativo CIAD MT1192 no cadastro de aeródromos,"PORTARIA Nº 19781/SIA, 11/08/2026",,,2026-08-11,,Portaria,"DOU 19/08/2026, Seção 1, pág. 66",,,,['portaria']
Inscreve o Aeródromo de uso privativo CIAD TO0181 no cadastro de aeródromos,"PORTARIA Nº 19786/SIA, 11/08/2026",,,2026-08-11,,Portaria,"DOU 17/08/2026, Seção 1, pág. 78",,,,['portaria']
"Revisa o Fluxo de Caixa Marginal aprovado pela Decisão nº 711, de 12 de junho de 2025, do Contrato de Concessão do Aeroporto Internacional de Florianópolis, localizado em Florianópolis (SC)","PORTARIA Nº 19780/SRA, 11/08/2026",,,2026-08-11,,Portaria,"DOU 14/08/2026, Seção 1, pág. 74",,,,"['aprovação', 'decisão', 'portaria']"
"Revisa o Fluxo de Caixa Marginal aprovado pela Decisão nº 709, de 15 de maio de 2025, do Contrato de Concessão do Aeroporto Internacional de Fortaleza (CE)","DECISÃO Nº 751, 10/08/2026",,,2026-08-10,,Decisão,"DOU 12/08/2026, Seção 1, pág. 75",,,,"['aprovação', 'decisão']"
"Concede Certificado Operacional de Aeroporto à CONCESSIONÁRIA DO BLOCO SUL S.A., operadora do Aeroporto Ruben Berta, código OACI: SBUG, código CIAD: RS00012, localizado em Uruguaiana (RS)","PORTARIA Nº 19769/SIA, 10/08/2026",,,2026-08-10,,Portaria,"DOU 14/08/2026, Seção 1, pág. 74",,,,['portaria']
Credencia piloto examinador conforme Edital nº 21/ANAC/2025,"PORTARIA Nº 19764/SPL, 10/08/2026",,,2026-08-10,,Portaria,"DOU 27/08/2026, Seção 1, pág. 67",,,,['portaria']
Designa Equipe de Gestão e Fiscalização do Contrato,"PORTARIA Nº 19765/SAF, 10/08/2026",,,2026-08-10,,Portaria,"BPS V.21, Nº 32, 11/08/2026",,,,['portaria']
Designa responsáveis pela assinatura de Notas de Empenho,"PORTARIA Nº 19770/SAF, 10/08/2026",,,2026-08-10,,Portaria,"BPS V.21, Nº 32, 11/08/2026",,,,['portaria']
Exclui o Aeródromo de uso privativo Fazenda Mimoso (MS) no cadastro de aeródromos.,"PORTARIA Nº 19777/SIA, 10/08/2026",,,2026-08-10,,Portaria,"DOU 13/08/2026, Seção 1, pág. 55",,,,['portaria']
Inscreve no cadastro o heliponto privado a bordo da unidade SKANDI NITERÓI (9PEB),"PORTARIA Nº 19776/SIA, 10/08/2026",,,2026-08-10,,Portaria,"DOU 13/08/2026, Seção 1, pág. 55",,,,['portaria']
Inscreve o Aeródromo de uso privativo CIAD BA0534 no cadastro de aeródromos,"PORTARIA Nº 19772/SIA, 10/08/2026",,,2026-08-10,,Portaria,"DOU 17/08/2026, Seção 1, pág. 78",,,,['portaria']
Inscreve o Aeródromo de uso privativo CIAD BA0535 no cadastro de aeródromos,"PORTARIA Nº 19775/SIA, 10/08/2026",,,2026-08-10,,Portaria,"DOU 17/08/2026, Seção 1, pág. 78",,,,['portaria']
Inscreve o Aeródromo de uso privativo CIAD MA0218 no cadastro de aeródromos,"PORTARIA Nº 19774/SIA, 10/08/2026",,,2026-08-10,,Portaria,"DOU 19/08/2026, Seção 1, pág. 66",,,,['portaria']
Inscreve o Aeródromo de uso privativo CIAD MT1191 no cadastro de aeródromos,"PORTARIA Nº 19768/SIA, 10/08/2026",,,2026-08-10,,Portaria,"DOU 17/08/2026, Seção 1, pág. 78",,,,['portaria']
"Torna pública a emissão do Certificado de Organização de Produção N° E-2026-08-01, emitido em favor da NEP Aviation Comércio Importação e Exportação Ltda.","PORTARIA Nº 19767/SAR, 10/08/2026",,,2026-08-10,,Portaria,"DOU 13/08/2026, Seção 1, pág. 55",,,,['portaria']
"Torna pública a revogação da suspensão da aplicação de medida cautelar de restrição às operações de pouso de aeronaves de asa fixa com motor a reação no aeródromo público de Parintins, localizado em Parintins (AM)","PORTARIA Nº 19766/SIA, 10/08/2026",,,2026-08-10,,Portaria,"DOU 12/08/2026, Seção 1, pág. 75",,,,['portaria']
Altera a inscrição do Aeródromo de uso privativo CIAD MS0289 no cadastro de aeródromos,"PORTARIA Nº 19763/SIA, 07/08/2026",,,2026-08-07,,Portaria,"DOU 13/08/2026, Seção 1, pág. 55",,,,"['alteração', 'portaria']"
Designa Equipe de Gestão e Fiscalização do Contrato,"PORTARIA Nº 19759/SAF, 07/08/2026",,,2026-08-07,,Portaria,"BPS V.21, Nº 32, 11/08/2026",,,,['portaria']
Designa Fiscal de Termo de Cessão de Uso de Área Aeroportuária,"PORTARIA Nº 19761/SAF, 07/08/2026",,,2026-08-07,,Portaria,"BPS V.21, Nº 32, 11/08/2026",,,,['portaria']
Inscreve o Aeródromo de uso privativo CIAD GO0446 no cadastro de aeródromos,"PORTARIA Nº 19752/SIA, 07/08/2026",,,2026-08-07,,Portaria,"DOU 13/08/2026, Seção 1, pág. 55",,,,['portaria']
Inscreve o Aeródromo de uso privativo CIAD MT1190 no cadastro de aeródromos,"PORTARIA Nº 19751/SIA, 07/08/2026",,,2026-08-07,,Portaria,"DOU 13/08/2026, Seção 1, pág. 55",,,,['portaria']
Inscreve o Aeródromo de uso privativo CIAD PA0451 no cadastro de aeródromos,"PORTARIA Nº 19753/SIA, 07/08/2026",,,2026-08-07,,Portaria,"DOU 20/08/2026, Seção 1, pág. 57",,,,['portaria']
Publica ação administrativa de cassação de licença e habilitação técnica,"PORTARIA Nº 19754/SPL, 07/08/2026",,,2026-08-07,,Portaria,"DOU 18/08/2026, Seção 1, pág. 108",,,,['portaria']
Publica ação administrativa de suspensão punitiva de licenças e habilitações técnicas de aeronauta,"PORTARIA Nº 19755/SPL, 07/08/2026",,,2026-08-07,"Retificado no DOU de 18.08.2026, Seção 1, página 108.",Portaria,"DOU 17/08/2026, Seção 1, pág. 79",,,,['portaria']
Torna pública a aplicação de medida cautelar de restrição às operações de pouso de aeronaves de asa fixa com motor à reação no aeródromo público Pirenópolis localizado em Pirenópolis/GO.,"PORTARIA Nº 19756/SIA, 07/08/2026",,,2026-08-07,,Portaria,"DOU 11/08/2026, Seção 1, págs. 68 e 69",,,,['portaria']
Torna pública a emissão de Certificado de Organização de Manutenção,"PORTARIA Nº 19762/SPO, 07/08/2026",,,2026-08-07,,Portaria,"DOU 17/08/2026, Seção 1, pág. 78",,,,['portaria']
Altera a inscrição do Aeródromo de uso privativo CIAD AM0063 no cadastro de aeródromos,"PORTARIA Nº 19743/SIA, 06/08/2026",,,2026-08-06,,Portaria,"DOU 13/08/2026, Seção 1, pág. 55",,,,"['alteração', 'portaria']"
Designa Equipe de Gestão e Fiscalização do Contrato,"PORTARIA Nº 19746/SAF, 06/08/2026",,,2026-08-06,,Portaria,"BPS V.21, Nº 32, 11/08/2026",,,,['portaria']
Designa Gestor de Contrato,"PORTARIA Nº 19745/SAF, 06/08/2026",,,2026-08-06,,Portaria,"BPS V.21, Nº 32, 11/08/2026",,,,['portaria']
Exclui o Aeródromo de uso privativo Hiper Moreira (GO) no cadastro de aeródromos,"PORTARIA Nº 19749/SIA, 06/08/2026",,,2026-08-06,,Portaria,"DOU 12/08/2026, Seção 1, pág. 75",,,,['portaria']
Inscreve o Aeródromo de uso privativo CIAD MG0685 no cadastro de aeródromos,"PORTARIA Nº 19739/SIA, 06/08/2026",,,2026-08-06,,Portaria,"DOU 12/08/2026, Seção 1, pág. 75",,,,['portaria']
Torna pública a aplicação de providência administrativa acautelatória relativa às operações do Operador Aéreo TOTAL LINHAS AÉREAS.,"PORTARIA Nº 19750/SIA,  06/08/2026",,,2026-08-06,,Portaria,"DOU 11/08/2026, Seção 1, pág. 69",,,,['portaria']
"Torna pública a emissão do Certificado de Organização de Projeto nº 21J.260801-00, em favor de Embraer S.A.","PORTARIA Nº 19742/SAR, 06/08/2026",,,2026-08-06,,Portaria,"DOU 11/08/2026, Seção 1, pág. 68",,,,"['embraer', 'portaria']"
Torna pública a interdição de estabelecimento não certificado.,"PORTARIA Nº 19740/SAG, 06/08/2026",,,2026-08-06,,Portaria,"DOU 26/08/2026, Seção 1, pág. 67",,,,['portaria']
Torna público o cumprimento dos requisitos para a exploração de serviços aéreos,"PORTARIA Nº 19748/SPO, 06/08/2026",,,2026-08-06,,Portaria,"DOU 12/08/2026, Seção 1, pág. 75",,,,['portaria']
Aprova manuais de procedimento da SAG,"PORTARIA Nº 19734/SAG, 05/08/2026",,,2026-08-05,,Portaria,"BPS V.21, Nº 32, 10/08/2026",,,,"['aprovação', 'portaria']"
"Delega competência aos Coordenadores e Assessores da GEOP, da GTFA, da GTCG e da GTED para assinatura de documentos","PORTARIA Nº 19730/SAG, 05/08/2026",,"Portaria nº 19.794/SAG, de 12.08.2026",2026-08-05,,Portaria,"BPS V.21, Nº 32, 10/08/2026",,,,['portaria']
Designa Equipe de Gestão e Fiscalização do Contrato,"PORTARIA Nº 19728/SAF, 05/08/2026",,,2026-08-05,,Portaria,"BPS V.21, Nº 31, 07/08/2026",,,,['portaria']
Inscreve o Aeródromo de uso privativo CIAD GO0447 no cadastro de aeródromos,"PORTARIA Nº 19737/SIA, 05/08/2026",,,2026-08-05,,Portaria,"DOU 12/08/2026, Seção 1, pág. 75",,,,['portaria']
Inscreve o Aeródromo de uso privativo CIAD MG0684 no cadastro de aeródromos,"PORTARIA Nº 19733/SIA, 05/08/2026",,,2026-08-05,,Portaria,"DOU 11/08/2026, Seção 1, pág. 69",,,,['portaria']
Inscreve o Heliponto de uso privativo ao nível do solo CIAD SC0273 no cadastro de aeródromos,"PORTARIA Nº 19732/SIA, 05/08/2026",,,2026-08-05,,Portaria,"DOU 12/08/2026, Seção 1, pág. 75",,,,['portaria']
Revalida credenciamento de clínica em conformidade com o Regulamento Brasileiro de Aviação Civil - RBAC nº 67,"PORTARIA Nº 19738/SPL, 05/08/2026",,,2026-08-05,,Portaria,"DOU 10/08/2026, Seção 1, pág. 52",,,,"['portaria', 'rbac']"
Torna pública a interdição de estabelecimento não certificado,"PORTARIA Nº 19736/SAG, 05/08/2026",,,2026-08-05,,Portaria,"DOU 12/08/2026, Seção 1, pág. 76",,,,['portaria']
"Torna pública a renovação de Certificado de Validação de Centro de Treinamento emitido em favor da AVIOMAR, S.r.l. para conduzir treinamentos e exames segundo o RBAC nº 142","PORTARIA Nº 19735/SPL, 05/08/2026",,,2026-08-05,,Portaria,"DOU 25/08/2026, Seção 1, pág. 144",,,,"['portaria', 'rbac']"
Inscreve o Heliponto de uso privativo ao nível do solo CIAD SC0272 no cadastro de aeródromos,"PORTARIA Nº 19725/SIA, 04/08/2026",,,2026-08-04,,Portaria,"DOU 10/08/2026, Seção 1, pág. 52",,,,['portaria']
