"Tipo normativo"	"Norma"	"Publicação"	"Ementa"	"Data"	"Em vigor"	"Revogada"	"Tornada sem efeito"	"Alterada"	"Outros"	"Anexos"
"Decreto"	"Decreto nº 5.910 de 27/09/2006"	"DOU 28/09/2006, S/1, p.3-7"	"Promulga a Convenção para a Unificação de Certas Regras Relativas ao Transporte Aéreo Internacional, celebrada em Montreal, em 28 de maio de 1999."	"2006-09-27"	""	""	""	""	""	"https://portalhomolog2.anac.gov.br/assuntos/legislacao/legislacao-1/decretos/decreto-no-5-910-de-27-09-2006@@download/arquivo_norma/Decreto5910.pdf"
"Decreto"	"Decreto nº 5.731 de 20/03/2006"	"DOU Nº 55, S/1, p.1, 21/03/2006"	"Dispõe sobre a instalação, a estrutura organizacional da ANAC e aprova o seu regulamento."	"2006-03-20"	""	""	""	""	""	"https://portalhomolog2.anac.gov.br/assuntos/legislacao/legislacao-1/decretos/decreto-no-5-731-de-20-03-2006@@download/arquivo_norma/decreto5731.pdf"
"Decreto"	"Decreto nº 5.745 de 04/04/2006"	"DOU Nº 66, S/1, p.2, 05/04/2006"	"Promulga o acordo entre o Governo da República Federal do Brasil e o Governo dos Estados Unidos para a promoção da Segurança da Aviação..."	"2006-04-04"	""	""	""	""	""	"https://portalhomolog2.anac.gov.br/assuntos/legislacao/legislacao-1/decretos/decreto-no-5-745-de-04-04-2006@@download/arquivo_norma/decreto5745.pdf"
"Decreto"	"Decreto nº 3.564 de 17/08/2000"	"DOU Nº 160, S/1, p.3, 18/08/2000"	"Dispõe sobre a estrutura e o funcionamento do Conselho de Aviação Civil - CONAC e dá outras providências."	"2000-08-17"	""	""	""	""	""	"https://portalhomolog2.anac.gov.br/assuntos/legislacao/legislacao-1/decretos/decreto-no-3-564-de-17-08-2000@@download/arquivo_norma/decreto3564.pdf"
"Decreto"	"Decreto nº 3.045 de 05/05/1999"	"DOU Nº 85, S/1, p.3, 06/05/1999"	"Promulga o Acordo sobre Serviços Aéreos Sub-Regionais entre os Governos da República Federativa do Brasil, da República Argentina, da República da Bolívia, da República do Chile, da República do Paraguai e da República Oriental do Uruguai, celebrado em Fortaleza, em 17 de dezembro de 1996."	"1999-05-05"	""	""	""	""	""	"https://portalhomolog2.anac.gov.br/assuntos/legislacao/legislacao-1/decretos/decreto-no-3-045-de-05-05-1999@@download/arquivo_norma/decreto3045.pdf"
"Decreto"	"Decreto nº 1.983 de 14/08/1996"	"DOU 15/08/1996, S/1, p.1"	"Institui, no âmbito do Departamento de Polícia Federal do Ministério da Justiça e da Diretoria-Geral de Assuntos Consulares, Jurídicos e de Assistência a Brasileiros no Exterior do Ministério das Relações Exteriores, o Programa de Modernização, Agilização, Aprimoramento e Segurança da Fiscalização do Tráfego Internacional e do Passaporte Brasileiro (PROMASP), e aprova o Regulamento de Documentos de Viagem."	"1996-08-14"	""	""	""	""	""	"https://portalhomolog2.anac.gov.br/assuntos/legislacao/legislacao-1/decretos/decreto-no-1-983-de-14-08-1996@@download/arquivo_norma/D1983.htm"
"Decreto"	"Decreto nº 97.464 de 20/01/1989"	"DOU 23/01/1989, S/1, p.1225."	"Estabelece procedimentos para a entrada no Brasil e o sobrevôo de seu território por aeronaves civis estrangeiras, que não estejam em serviço aéreo internacional regular."	"1900-01-02"	""	""	""	""	""	"https://portalhomolog2.anac.gov.br/assuntos/legislacao/legislacao-1/decretos/decreto-no-97-464-de-20-01-1989@@download/arquivo_norma/Dec 97464 1989.pdf"
"Decreto"	"Decreto nº 92.319 de 23/01/1986"	"DOU 24/01/1986"	"Dispõe sobre o funcionamento, no País, de empresas estrangeiras que têm por objeto a exploração do transporte aéreo e de serviços acessórios."	"1986-01-23"	""	""	""	""	""	"https://portalhomolog2.anac.gov.br/assuntos/legislacao/legislacao-1/decretos/decreto-no-92-319-de-23-01-1986@@download/arquivo_norma/Decreto92319.pdf"
"Decreto"	"Decreto nº 91.783 de 17/10/1985"	"DOU 18/10/1985 p.15186"	"Altera dispositivo do Decreto Nº 89.121, de 6 de dezembro de 1983, que dispõe sobre a utilização e a exploração dos aeroportos e das facilidades à navegação aérea."	"1985-10-17"	""	""	""	""	""	"https://portalhomolog2.anac.gov.br/assuntos/legislacao/legislacao-1/decretos/decreto-no-91-783-de-17-10-1985@@download/arquivo_norma/91783.pdf"
"Decreto"	"Decreto nº 91.438 de 15/07/1985"	"DOU 16/07/1985 p.10130"	"Altera dispositivos do Decreto Nº 89.121, de 06 de dezembro de 1983, que dispõe sobre a utilização e a exploração dos aeroportos e das facilidades à navegação aérea."	"1985-07-15"	""	""	""	""	""	"https://portalhomolog2.anac.gov.br/assuntos/legislacao/legislacao-1/decretos/decreto-no-91-438-de-15-07-1985@@download/arquivo_norma/91438.pdf"
"Decreto"	"Decreto nº 7.476 de 10/05/2011"	"DOU Nº 89, S/1, p.4-5, 11/05/2011"	"Aprova a Estrutura Regimental e o Quadro Demonstrativo dos Cargos em Comissão do Grupo-Direção e Assessoramento Superiores - DAS, das Gratificações de Exercício em Cargo de Confiança e das Gratificações de Representação pelo Exercício de Função da Secretaria de Aviação Civil da Presidência da República, altera dispositivos do Decreto no 7.364, de 23 de novembro de 2010, e dá outras providências."	"2011-05-10"	""	""	""	""	""	"http://www.planalto.gov.br/ccivil_03/_Ato2011-2014/2011/Decreto/D7476.htm"
