"Tipo normativo"	"Norma"	"Publicação"	"Ementa"	"Data"	"Em vigor"	"Revogada"	"Tornada sem efeito"	"Alterada"	"Outros"	"Anexos"
"Lei"	"Lei nº 5.332 de 11/10/1967"	"DOU S/1, p.10319, 02/10/1967"	"Dispõe sobre o arrendamento de áreas Aeroportuárias às empresas e pessoas físicas ou jurídicas ligadas às atividades aeronáuticas."	"11/10/1967"	""	""	""	""	""	"https://portalhomolog2.anac.gov.br/assuntos/legislacao/legislacao-1/leis/lei-no-5-332-de-11-10-1967@@download/arquivo_norma/Lei5332.pdf"
"Lei"	"Lei N° 12.920, de 24/12/2013"	"DOU N° 250-A, Seção 1 (Edição Extra), p. 27, de 26/12/2013"	"Dá a denominação de Aeroporto Internacional do Rio Grande do Norte/São Gonçalo do Amarante - Governador Aluizio Alves ao Aeroporto São Gonçalo do Amarante, no Estado do Rio Grande do Norte. "	"21/12/2013"	""	""	""	""	""	"http://www.anac.gov.br/assuntos/legislacao/legislacao-1/leis/lei-no-12-920-de-24-12-2013/@@display-file/arquivo_norma/L12920.htm"
"Lei"	"Lei nº 9.825 de 27/10/1999"	"DOU Nº 162, S/1, p.26,24/08/1999"	"Estabelece normas de finanças públicas voltadas para a responsabilidade na gestão fiscal e dá outras providências."	"27/10/1999"	""	""	""	""	""	"https://portalhomolog2.anac.gov.br/assuntos/legislacao/legislacao-1/leis/lei-no-9-825-de-27-10-1999@@download/arquivo_norma/lei9825.pdf"
"Lei"	"Lei nº 9.069 de 29/06/1995"	"DOU 30/06/1995"	"Dispõe sobre o Plano Real, o Sistema Monetário Nacional, estabelece as regras e condições de emiss ão do REAL e os critérios para conversão das obrigações para o REAL, e dá outras providências."	"29/06/1995"	""	""	""	""	""	"https://portalhomolog2.anac.gov.br/assuntos/legislacao/legislacao-1/leis/lei-no-9-069-de-29-06-1995@@download/arquivo_norma/lei9069.pdf"
"Lei"	"Lei nº 8.987 de 29/06/1995"	"DOU S/1, p.1917, 14/02/1995"	"Dispõe sobre o regime de concessão e permissão da prestação de serviços públicos previsto no art. 175 da Constituição Federal, e dá outras providências."	"29/06/1995"	""	""	""	""	""	"https://portalhomolog2.anac.gov.br/assuntos/legislacao/legislacao-1/leis/lei-no-8-987-de-29-06-1995@@download/arquivo_norma/lei8987.pdf"
"Lei"	"Lei nº 7.920 de 12/12/1989"	"DOU 13/12/1989"	"Cria o Adicional de Tarifa Aeroportuária."	"12/12/1989"	""	""	""	""	""	"https://portalhomolog2.anac.gov.br/assuntos/legislacao/legislacao-1/leis/lei-no-7-920-de-12-12-1989@@download/arquivo_norma/Lei7920.htm"
"Lei"	"Lei nº 6.009 de 26/12/1973"	"DOU 28/12/1973"	"Dispõe sobre a utilização e a exploração dos aeroportos, das facilidades à navegação aérea e dá outras providências."	"26/12/1973"	""	""	""	""	""	"https://portalhomolog2.anac.gov.br/assuntos/legislacao/legislacao-1/leis/lei-no-6-009-de-26-12-1973@@download/arquivo_norma/Lei6009.htm"
"Lei"	"Lei nº 5.862 de 12/12/1972"	"DOU 13/12/1972"	"Autoriza o Poder Executivo a constituir a empresa pública denominada Empresa Brasileira de Infra-Estrutura Aeroportuária - INFRAERO, e dá outras providências."	"12/12/1972"	""	""	""	""	""	"https://portalhomolog2.anac.gov.br/assuntos/legislacao/legislacao-1/leis/lei-no-5-862-de-12-12-1972@@download/arquivo_norma/L5862.htm"
"Lei Complementar"	"Lei Complementar  N° 101  04/05/2000"	"DOU 05/05/2000"	"Estabelece normas de finanças públicas voltadas para a responsabilidade na gestão fiscal e dá outras providências. "	"05/05/2000"	""	""	""	""	""	"https://portalhomolog2.anac.gov.br/assuntos/legislacao/legislacao-1/leis/lei-complementar-ndeg-101-04-05-2000@@download/arquivo_norma/LeiComplementar101.pdf"
"Lei Complementar"	"Lei Complementar   N° 97   09/06/1999"	"DOU 10/06/1999"	"Dispõe sobre as normas gerais para a organização, o preparo e o emprego das Forças Armadas. "	"09/06/1999"	""	""	""	""	""	"https://portalhomolog2.anac.gov.br/assuntos/legislacao/legislacao-1/leis/lei-complementar-ndeg-97-09-06-1999@@download/arquivo_norma/LeiComplementar97.pdf"
"Lei"	"Lei nº 12.887 de 26/11/2013"	"DOU Nº 230, Seção 1, p.1, de 27/11/2013"	"Revoga o § 4º do art. 107 da Lei Nº 7.565, de 19 de dezembro de 1986 (Código Brasileiro de Aeronáutica)."	"26/11/2013"	""	""	""	""	""	"http://www.planalto.gov.br/CCIVIL_03/_Ato2011-2014/2013/Lei/L12887.htm"
"Lei"	"Lei nº 11.182 de 27/09/2005"	"DOU Nº 187, S/1, p.1-8, 28/09/2005"	"Lei de criação da ANAC."	"27/09/2005"	""	""	""	""	""	"http://www.planalto.gov.br/ccivil_03/_ato2004-2006/2005/Lei/L11182.htm"
"Lei"	"Lei nº 7.565 de 19/12/1986"	"DOU S/1, p.19567, 23/12/1986"	"Dispõe sobre o Código Brasileiro de Aeronáutica."	"19/12/1986"	""	""	""	""	""	"http://www.planalto.gov.br/ccivil_03/leis/L7565.htm"
"Lei"	"Lei nº 7.183 de 05/04/1984"	"DOU S/1, p.4969, 06/04/1984"	"Regula o exercício da profissão de aeronauta e dá outras providências."	"05/04/1984"	""	"Lei nº 13.475, de 28/08/2017"	""	""	""	"http://www.planalto.gov.br/ccivil_03/Leis/L7183.htm"
"Lei"	"Lei nº 13.475 de 28/08/2017"	"DOU 29/08/2017, Seção 1, págs. 1 a 5"	"Dispõe sobre o exercício da profissão de tripulante de aeronave, denominado aeronauta; e revoga a Lei no 7.183, de 5 de abril de 1984."	"28/08/2017"	""	""	""	""	""	"http://www.planalto.gov.br/ccivil_03/_ato2015-2018/2017/lei/L13475.htm"
