"Tipo normativo"	"Norma"	"Publicação"	"Ementa"	"Data"	"Em vigor"	"Revogada"	"Tornada sem efeito"	"Alterada"	"Outros"	"Anexos"
"Instrução Normativa"	"Instrução Normativa nº 122, 16/05/2018"	"BPS V.13, Nº 20, 18/05/2018"	"Dispõe sobre a jornada de trabalho, o registro e o controle da frequência dos servidores da ANAC."	"43236"	"Em vigor em 1º de julho de 2018."	""	""	""	""	"https://www.anac.gov.br/assuntos/legislacao/legislacao-1/instrucoes-normativas/2018/instrucao-normativa-no-122-16-05-2018@@download/arquivo_norma/IN2018-0122.pdf"
"Instrução Normativa"	"Instrução Normativa nº 123, 30/05/2018"	"BPS V.13, Nº 22 S1, 04/06/2018"	"Altera a Instrução Normativa nº 33, de 12 de janeiro de 2010."	"43250"	""	""	""	""	""	"https://www.anac.gov.br/assuntos/legislacao/legislacao-1/instrucoes-normativas/2018/instrucao-normativa-no-123-30-05-2018@@download/arquivo_norma/IN2018-0123.pdf"
"Instrução Normativa"	"Instrução Normativa nº 124, 05/07/2018"	"BPS V.13, Nº 27, 06/07/2018"	"Institui a Política de Comunicação Institucional da ANAC."	"43256"	""	""	""	""	""	"https://www.anac.gov.br/assuntos/legislacao/legislacao-1/instrucoes-normativas/2018/instrucao-normativa-no-124-05-07-2018@@download/arquivo_norma/IN2018-0124.pdf"
"Instrução Normativa"	"Instrução Normativa nº 125, 05/07/2018"	"BPS V.13, Nº 27, 06/07/2018"	"Estabelece os critérios e procedimentos para o planejamento e execução das ações de comunicação da Agência Nacional de Aviação Civil - ANAC."	"43286"	""	""	""	""	""	"https://www.anac.gov.br/assuntos/legislacao/legislacao-1/instrucoes-normativas/2018/instrucao-normativa-no-125-05-07-2018@@download/arquivo_norma/IN2018-0125.pdf"
"Instrução Normativa"	"Instrução Normativa nº 126, 22/08/2018"	"BPS V.13, Nº 34, 24/08/2018"	"Dispõe sobre a celebração do Termo de Ajustamento de Conduta Disciplinar - TACD no âmbito da Agência Nacional de Aviação Civil."	"43334"	""	"Instrução Normativa nº 159, de 23 de julho de 2020."	""	""	""	"https://www.anac.gov.br/assuntos/legislacao/legislacao-1/instrucoes-normativas/2018/instrucao-normativa-no-126-22-08-2018@@download/arquivo_norma/IN2018-0126 - Revogado.pdf"
"Instrução Normativa"	"Instrução Normativa nº 127, 05/10/2018"	"BPS V.13, Nº 40, 08/10/2018"	"Estabelece regras e diretrizes para a edição do regimento interno, para a organização interna das unidades organizacionais e para os processos de modificação da estrutura organizacional da Agência."	"43378"	""	""	""	"Instruções Normativas nºs 142, de 15.08.2019, e 158, de 13.07.2020."	""	"https://www.anac.gov.br/assuntos/legislacao/legislacao-1/instrucoes-normativas/2018/instrucao-normativa-no-127-05-10-2018@@download/arquivo_norma/IN2018-0127 - Compilado até IN2020-0158.pdf"
"Instrução Normativa"	"Instrução Normativa nº 128, 06/11/2018"	"BPS V.13, Nº 45, 09/11/2018"	"Aprova a Política de Segurança da Informação e Comunicações - PoSIC no âmbito da Agência Nacional de Aviação Civil - ANAC."	"43410"	""	""	""	"Instrução Normativa nº 145, de 16 de setembro de 2019."	""	"https://www.anac.gov.br/assuntos/legislacao/legislacao-1/instrucoes-normativas/2018/instrucao-normativa-no-128-06-11-2018-1@@download/arquivo_norma/IN2018-0128 - Compilado até IN2019-0145.pdf"
"Instrução Normativa"	"Instrução Normativa nº 129, 07/11/2018"	"BPS V.13, Nº 45, 09/11/2018"	"Institui o Programa de Incentivo Educacional - PIE na ANAC."	"43411"	""	""	""	""	""	"https://www.anac.gov.br/assuntos/legislacao/legislacao-1/instrucoes-normativas/2018/instrucao-normativa-no-129-07-11-2018@@download/arquivo_norma/IN2018-0129.pdf"
"Instrução Normativa"	"Instrução Normativa nº 130, 14/11/2018"	"BPS V.13, Nº 46 S1, 19/11/2018"	"Altera dispositivos da Instrução Normativa nº 66, de 13 de novembro de 2012."	"43418"	""	""	""	""	""	"https://www.anac.gov.br/assuntos/legislacao/legislacao-1/instrucoes-normativas/2018/instrucao-normativa-no-130-14-11-2018@@download/arquivo_norma/IN2018-0130.pdf"
"Instrução Normativa"	"Instrução Normativa nº 132, 30/11/2018"	"BPS V.13, Nº 48 S2, 05/12/2018"	"Classifica, para fins de estruturação administrativa, as Unidades Administrativas Regionais da ANAC e dá outras providências."	"43434"	""	""	""	""	""	"https://www.anac.gov.br/assuntos/legislacao/legislacao-1/instrucoes-normativas/2018/instrucao-normativa-no-132-30-11-2018@@download/arquivo_norma/IN2018-0132.pdf"
"Instrução Normativa"	"Instrução Normativa nº 133, 05/02/2019"	"BPS V.14, Nº 6 S1, 11/02/2019"	"Institui o Programa de Melhoria de Desempenho - PMD e dá outras providências."	"43136"	""	""	""	""	""	"https://www.anac.gov.br/assuntos/legislacao/legislacao-1/instrucoes-normativas/2019/instrucao-normativa-no-133-05-02-2019-1@@download/arquivo_norma/IN2019-0133.pdf"
"Instrução Normativa"	"Instrução Normativa nº 134, 28/02/2019"	"BPS V.14, Nº 9, 01/03/2019"	"Altera a Instrução Normativa nº 121, de 4 de maio de 2018."	"43524"	""	""	""	""	""	"https://www.anac.gov.br/assuntos/legislacao/legislacao-1/instrucoes-normativas/2019/instrucao-normativa-no-134-28-02-2019@@download/arquivo_norma/ IN2019-0134.pdf"
"Instrução Normativa"	"Instrução Normativa nº 135, 28/02/2019"	"BPS V.14, Nº 9, 01/03/2019"	"Regulamenta o processo decisório de segunda instância administrativa no âmbito da ANAC."	"43524"	""	""	""	""	""	"https://www.anac.gov.br/assuntos/legislacao/legislacao-1/instrucoes-normativas/2019/instrucao-normativa-no-135-28-02-2019@@download/arquivo_norma/IN2019-0135.pdf"
"Instrução Normativa"	"Instrução Normativa nº 136, 15/03/2019"	"BPS V.14, Nº 11, 19/03/2019"	"Dispõe sobre a celebração de convênios e instrumentos congêneres no âmbito da ANAC."	"43539"	""	""	""	""	""	"https://www.anac.gov.br/assuntos/legislacao/legislacao-1/instrucoes-normativas/2019/instrucao-normativa-no-136-15-03-2019@@download/arquivo_norma/IN2019-0136.pdf"
"Instrução Normativa"	"Instrução Normativa nº 137, 28/03/2019"	"BPS V.14, Nº 13, 29/03/2019"	"Institui o Programa Específico de Capacitação de Inspetores de Voo da ANAC - PCIV."	"43552"	""	""	""	""	""	"https://www.anac.gov.br/assuntos/legislacao/legislacao-1/instrucoes-normativas/2019/instrucao-normativa-no-137-28-03-2019@@download/arquivo_norma/IN2019-0137 - Retificado.pdf"
"Instrução Normativa"	"Instrução Normativa nº 138, 26/06/2019"	"BPS V.14, Nº 26 S1, 01/07/2019"	"Aprova o Estatuto da Auditoria Interna da ANAC."	"43642"	""	""	""	"Instrução Normativa nº 168, de 03.05.2021"	""	"https://www.anac.gov.br/assuntos/legislacao/legislacao-1/instrucoes-normativas/2019/instrucao-normativa-no-138-26-06-2019@@download/arquivo_norma/IN2019-0138.pdf"
"Instrução Normativa"	"Instrução Normativa nº 139, 26/06/2019"	"BPS V.14, Nº 27, 05/07/2019"	"Estabelece procedimentos para operacionalização do sistema Universal Oversight Audit Programme/Continuous Monitoring Approach (USOAP-CMA)."	"43642"	""	""	""	""	""	"https://www.anac.gov.br/assuntos/legislacao/legislacao-1/instrucoes-normativas/2019/instrucao-normativa-no-139-26-06-2019@@download/arquivo_norma/IN2019-0139.pdf"
"Instrução Normativa"	"Instrução Normativa nº 140, 23/07/2019"	"BPS V.14, Nº 30, 26/07/2019"	"Dispõe sobre os procedimentos relacionados à consulta sobre existência conflito de interesses e o pedido de autorização de atividade privada formulado por agente público da Agência Nacional de Aviação Civil."	"43669"	""	""	""	""	""	"https://www.anac.gov.br/assuntos/legislacao/legislacao-1/instrucoes-normativas/2019/instrucao-normativa-no-140-23-07-2019@@download/arquivo_norma/ IN2019-0140.pdf"
"Instrução Normativa"	"Instrução Normativa nº 141, 02/08/2019"	"BPS V.14, Nº 31 S1, 07/08/2019"	"Revoga a Instrução Normativa nº 102, de 15 de julho de 2016."	"43679"	"Em vigor em 6 de setembro de 2019."	""	""	""	""	"https://www.anac.gov.br/assuntos/legislacao/legislacao-1/instrucoes-normativas/2019/instrucao-normativa-no-141-02-08-2019@@download/arquivo_norma/IN2019-0141.pdf"
"Instrução Normativa"	"Instrução Normativa nº 142, 15/08/2019"	"BPS V.14, Nº 33, 16/08/2019"	"Estabelece Programa de Gestão do Desempenho Institucional e Individual da Agência Nacional de Aviação Civil - ANAC."	"43692"	"Em vigor em 1º de janeiro de 2020."	""	""	""	""	"https://www.anac.gov.br/assuntos/legislacao/legislacao-1/instrucoes-normativas/2019/instrucao-normativa-no-142-15-08-2019@@download/arquivo_norma/IN2019-0142.pdf"
