ID;​​Manufacturer;​Model;​Type Designator;​Description;​Engine Type;​Engine Count;​​WTC
0;328 SUPPORT SERVICES;Dornier 328JET;J328;LandPlane;Jet;2;M
1;3XTRIM;450 Ultra;UL45;LandPlane;Piston;1;L
2;3XTRIM;Ultra;UL45;LandPlane;Piston;1;L
3;3XTRIM;550 Trener;TR55;LandPlane;Piston;1;L
4;3XTRIM;Trener;TR55;LandPlane;Piston;1;L
5;3XTRIM;3X-47 Ultra;UL45;LandPlane;Piston;1;L
6;3XTRIM;3X-55 Trener;TR55;LandPlane;Piston;1;L
7;3XTRIM;3X-LS Navigator 600;TR55;LandPlane;Piston;1;L
8;3XTRIM;Navigator 600;TR55;LandPlane;Piston;1;L
9;A-41;VNS-41;CE22;Amphibian;Piston;2;L
10;A2 CZ;Ellipse Spirit;ELSP;LandPlane;Piston;1;L
11;AAC;SeaStar;PETR;Amphibian;Piston;1;L
12;AAK;Bushman;BMAN;LandPlane;Piston;1;L
13;AAK;Hornet;HRNT;LandPlane;Piston;1;L
14;AAK;Wasp;WSP;LandPlane;Piston;1;L
15;AAMSA;A-9 Quail;A9;LandPlane;Piston;1;L
16;AAMSA;Quail;A9;LandPlane;Piston;1;L
17;AASI;Jetcruzer;JCRU;LandPlane;Turboprop/Turboshaft;1;L
18;ABHCO;Gazelle;GAZL;Helicopter;Turboprop/Turboshaft;1;L
19;ABHCO;SA-342 Gazelle;GAZL;Helicopter;Turboprop/Turboshaft;1;L
20;ABS;RF-9;RF9;LandPlane;Piston;1;L
21;ABS AEROLIGHT;Xenon;XNON;Gyrocopter;Piston;1;L
22;ACBA;ACBA-8 Midour 2;MIDR;LandPlane;Piston;1;L
23;ACBA;Midour 2;MIDR;LandPlane;Piston;1;L
24;ACE;Junior Ace;JACE;LandPlane;Piston;1;L
25;ACE;Super Ace;SACE;LandPlane;Piston;1;L
26;ACEAIR;A-200 Aeriks 200;ARKS;LandPlane;Piston;1;L
27;ACEAIR;A-200 Aeris 200;ARKS;LandPlane;Piston;1;L
28;ACEAIR;Aeriks 200;ARKS;LandPlane;Piston;1;L
29;ACEAIR;Aeris 200;ARKS;LandPlane;Piston;1;L
30;ACES HIGH;Cuby 2;CUB2;LandPlane;Piston;1;L
31;ACRO SPORT;Acro-Sport 1;ACRO;LandPlane;Piston;1;L
32;ACRO SPORT;Acro-Sport 2;ACR2;LandPlane;Piston;1;L
33;ACRO SPORT;Cougar;COUG;LandPlane;Piston;1;L
34;ACRO SPORT;Junior Ace;JACE;LandPlane;Piston;1;L
35;ACRO SPORT;Super Ace;SACE;LandPlane;Piston;1;L
36;ACRO SPORT;Super Acro-Sport;ACRO;LandPlane;Piston;1;L
37;ACS;ACS-100 Sora;SORA;LandPlane;Piston;1;L
38;ACS;Sora;SORA;LandPlane;Piston;1;L
39;AD AEROSPACE;T-211;T211;LandPlane;Piston;1;L
40;ADA;LCA Tejas;LCA;LandPlane;Jet;1;M
41;ADA;Tejas;LCA;LandPlane;Jet;1;M
42;ADAM (1);Loisirs;RA14;LandPlane;Piston;1;L
43;ADAM (1);RA-14 Loisirs;RA14;LandPlane;Piston;1;L
44;ADAM (1);RA-17;RA17;LandPlane;Piston;1;L
45;ADAM (2);A-500;A500;LandPlane;Piston;2;L
46;ADAM (2);A-500 CarbonAero;A500;LandPlane;Piston;2;L
47;ADAM (2);A-700 AdamJet;A700;LandPlane;Jet;2;L
48;ADAM (2);AdamJet;A700;LandPlane;Jet;2;L
49;ADAM (2);CarbonAero;A500;LandPlane;Piston;2;L
50;ADAMS;T-211;T211;LandPlane;Piston;1;L
51;ADVANCED AEROMARINE;Mallard;BUCA;Amphibian;Piston;1;L
52;ADVANCED AIRCRAFT;Regent 1500;C21T;LandPlane;Turboprop/Turboshaft;2;L
53;ADVANCED AIRCRAFT;Spirit 750;C10T;LandPlane;Turboprop/Turboshaft;1;L
54;ADVANCED AIRCRAFT;Turbine P210;C10T;LandPlane;Turboprop/Turboshaft;1;L
55;ADVANCED AVIATION;Buccaneer;BUCA;Amphibian;Piston;1;L
56;ADVENTURE AIR;Adventurer;ADVN;Amphibian;Piston;1;L
57;AEA;Explorer 500T;EX5T;LandPlane;Turboprop/Turboshaft;1;L
58;AEA;Maverick;MAVR;LandPlane;Piston;1;L
59;AERFER-AERMACCHI;AM-3;AM3;LandPlane;Piston;1;L
60;AERITALIA;AMX Ghibli;AMX;LandPlane;Jet;1;M
61;AERITALIA;G-222;G222;LandPlane;Turboprop/Turboshaft;2;M
62;AERITALIA;Ghibli;AMX;LandPlane;Jet;1;M
63;AERITALIA;Tornado;TOR;LandPlane;Jet;2;M
64;AERITALIA-AERMACCHI;AM-3;AM3;LandPlane;Piston;1;L
65;AERMACCHI;AL-60;LA60;LandPlane;Piston;1;L
66;AERMACCHI;AL-60 Conestoga;LA60;LandPlane;Piston;1;L
67;AERMACCHI;AL-60 Trojan;LA60;LandPlane;Piston;1;L
68;AERMACCHI;AMX Ghibli;AMX;LandPlane;Jet;1;M
69;AERMACCHI;Conestoga;LA60;LandPlane;Piston;1;L
70;AERMACCHI;Ghibli;AMX;LandPlane;Jet;1;M
71;AERMACCHI;F-260E;F260;LandPlane;Piston;1;L
72;AERMACCHI;F-260F;F260;LandPlane;Piston;1;L
73;AERMACCHI;M-290TP Redigo;L90;LandPlane;Turboprop/Turboshaft;1;L
74;AERMACCHI;MB-326;M326;LandPlane;Jet;1;L
75;AERMACCHI;MB-339;M339;LandPlane;Jet;1;L
76;AERMACCHI;Redigo;L90;LandPlane;Turboprop/Turboshaft;1;L
77;AERMACCHI;T-260;F260;LandPlane;Piston;1;L
78;AERMACCHI;Trojan;LA60;LandPlane;Piston;1;L
79;AERMACCHI;SF-260E;F260;LandPlane;Piston;1;L
80;AERMACCHI;SF-260F;F260;LandPlane;Piston;1;L
81;AERMACCHI;SF-260T;F26T;LandPlane;Turboprop/Turboshaft;1;L
82;AERMACCHI;M-346 Master;M346;LandPlane;Jet;2;M
83;AERMACCHI;T-346 Master;M346;LandPlane;Jet;2;M
84;AERMACCHI;Master;M346;LandPlane;Jet;2;M
85;AERMACCHI;AL-60 Loadmaster;LA60;LandPlane;Piston;1;L
86;AERMACCHI;AL-60 Turbine Grizzly;LA6T;LandPlane;Turboprop/Turboshaft;1;L
87;AERMACCHI;Loadmaster;LA60;LandPlane;Piston;1;L
88;AERMACCHI;Turbine Grizzly;LA6T;LandPlane;Turboprop/Turboshaft;1;L
89;AERO (1);Alti Cruiser;AC72;LandPlane;Piston;2;L
90;AERO (1);Commander 500;AC50;LandPlane;Piston;2;L
91;AERO (1);Commander 520;AC52;LandPlane;Piston;2;L
92;AERO (1);Commander 560;AC56;LandPlane;Piston;2;L
93;AERO (1);Commander 680 Super;AC68;LandPlane;Piston;2;L
94;AERO (1);Commander 680E;AC68;LandPlane;Piston;2;L
95;AERO (1);Commander 680F;AC68;LandPlane;Piston;2;L
96;AERO (1);L-26B Commander 560;AC56;LandPlane;Piston;2;L
97;AERO (1);L-26C Commander 680 Super;AC68;LandPlane;Piston;2;L
98;AERO (1);U-4A Commander 560;AC56;LandPlane;Piston;2;L
99;AERO (1);U-4B Commander 680 Super;AC68;LandPlane;Piston;2;L
100;AERO (1);U-9 Commander 680 Super;AC68;LandPlane;Piston;2;L
101;AERO (2);45;AE45;LandPlane;Piston;2;L
102;AERO (2);Albatros;L39;LandPlane;Jet;1;L
103;AERO (2);Albatros 2;L159;LandPlane;Jet;1;M
104;AERO (2);Brigadyr;L60;LandPlane;Piston;1;L
105;AERO (2);C-104;BU31;LandPlane;Piston;1;L
106;AERO (2);CS-102;MG15;LandPlane;Jet;1;L
107;AERO (2);Delfin;L29;LandPlane;Jet;1;L
108;AERO (2);L-29 Delfin;L29;LandPlane;Jet;1;L
109;AERO (2);L-39 Albatros;L39;LandPlane;Jet;1;L
110;AERO (2);L-59;L59;LandPlane;Jet;1;L
111;AERO (2);L-60 Brigadyr;L60;LandPlane;Piston;1;L
112;AERO (2);L-139 Albatros;L39;LandPlane;Jet;1;L
113;AERO (2);L-159;L159;LandPlane;Jet;1;M
114;AERO (2);L-159 Albatros 2;L159;LandPlane;Jet;1;M
115;AERO (2);S-102;MG15;LandPlane;Jet;1;L
116;AERO (2);S-103;MG15;LandPlane;Jet;1;L
117;AERO (2);Z-131;BU31;LandPlane;Piston;1;L
118;AERO (2);Ae-270 Propjet;A270;LandPlane;Turboprop/Turboshaft;1;L
119;AERO (2);Propjet;A270;LandPlane;Turboprop/Turboshaft;1;L
120;AERO (3);AT-4;AAT4;LandPlane;Piston;1;L
121;AERO (3);AT-3;AAT3;LandPlane;Piston;1;L
122;AERO (3);P-220-AT1;P220;LandPlane;Piston;1;L
123;AERO (3);P-220-AT2;P220;LandPlane;Piston;1;L
124;AERO ADVENTURE;Aventura 2;AVTR;Amphibian;Piston;1;L
125;AERO ADVENTURE;Toucan;ZEP2;LandPlane;Piston;1;L
126;AERO BOERO;AB-95;AB95;LandPlane;Piston;1;L
127;AERO BOERO;AB-115;AB11;LandPlane;Piston;1;L
128;AERO BOERO;AB-150;AB15;LandPlane;Piston;1;L
129;AERO BOERO;AB-180;AB18;LandPlane;Piston;1;L
130;AERO COMMANDER;100 Commander 100;VO10;LandPlane;Piston;1;L
131;AERO COMMANDER;200 Commander 200;M200;LandPlane;Piston;1;L
132;AERO COMMANDER;500 Commander 500;AC50;LandPlane;Piston;2;L
133;AERO COMMANDER;560 Commander 560;AC56;LandPlane;Piston;2;L
134;AERO COMMANDER;680F Commander 680F;AC68;LandPlane;Piston;2;L
135;AERO COMMANDER;680FL Grand Commander;AC6L;LandPlane;Piston;2;L
136;AERO COMMANDER;680FP Commander 680FP;AC68;LandPlane;Piston;2;L
137;AERO COMMANDER;680T Turbo Commander;AC80;LandPlane;Turboprop/Turboshaft;2;L
138;AERO COMMANDER;680V Turbo Commander;AC80;LandPlane;Turboprop/Turboshaft;2;L
139;AERO COMMANDER;1121 Jet Commander;JCOM;LandPlane;Jet;2;M
140;AERO COMMANDER;A-9 Ag Commander;A9;LandPlane;Piston;1;L
141;AERO COMMANDER;Ag Commander (A-9);A9;LandPlane;Piston;1;L
142;AERO COMMANDER;Ag Commander (B-1);CLB1;LandPlane;Piston;1;L
143;AERO COMMANDER;Ag Commander (S-2);SS2P;LandPlane;Piston;1;L
144;AERO COMMANDER;B-1 Ag Commander;CLB1;LandPlane;Piston;1;L
145;AERO COMMANDER;Commander 100;VO10;LandPlane;Piston;1;L
146;AERO COMMANDER;Commander 200;M200;LandPlane;Piston;1;L
147;AERO COMMANDER;Commander 500;AC50;LandPlane;Piston;2;L
148;AERO COMMANDER;Commander 560;AC56;LandPlane;Piston;2;L
149;AERO COMMANDER;Commander 680F;AC68;LandPlane;Piston;2;L
150;AERO COMMANDER;Commander 680FP;AC68;LandPlane;Piston;2;L
151;AERO COMMANDER;Grand Commander;AC6L;LandPlane;Piston;2;L
152;AERO COMMANDER;Jet Commander;JCOM;LandPlane;Jet;2;M
153;AERO COMMANDER;S-2 Ag Commander;SS2P;LandPlane;Piston;1;L
154;AERO COMMANDER;Turbo Commander (680);AC80;LandPlane;Turboprop/Turboshaft;2;L
155;AERO DESIGNS;Pulsar;PULS;LandPlane;Piston;1;L
156;AERO ELI;Yo-Yo;R22;Helicopter;Piston;1;L
157;AERO GARE;Sea Hawker;AGSH;Amphibian;Piston;1;L
158;AERO ITBA;Petrel;PETL;LandPlane;Piston;1;L
159;AERO JAEN;RF-5 Serrania;RF5;LandPlane;Piston;1;L
160;AERO JAEN;Serrania;RF5;LandPlane;Piston;1;L
161;AERO KUHLMANN;Scub;SCUB;LandPlane;Piston;1;L
162;AERO MERCANTIL;358 Gavilan;GAVI;LandPlane;Piston;1;L
163;AERO MERCANTIL;Gavilan;GAVI;LandPlane;Piston;1;L
164;AERO MIRAGE;TC-2;TC2;LandPlane;Piston;1;L
165;AERO MOD;G-164 Super Ag Max;G164;LandPlane;Piston;1;L
166;AERO MOD;Super Ag Max;G164;LandPlane;Piston;1;L
167;AERO SERVICES;Guepard;GUEP;LandPlane;Piston;1;L
168;AERO SERVICES;Guepy;GUEP;LandPlane;Piston;1;L
169;AERO SERVICES;Super Guepard;GUEP;LandPlane;Piston;1;L
170;AERO SERVICES;Guêpe;GEPE;LandPlane;Piston;1;L
171;AERO SPACELINES;377SGT Super Guppy;SGUP;LandPlane;Turboprop/Turboshaft;4;M
172;AERO SPACELINES;Super Guppy;SGUP;LandPlane;Turboprop/Turboshaft;4;M
173;AERO-ASTRA;Okhotnik;OKHO;Gyrocopter;Piston;1;L
174;AERO-COMPOSITES;Sea Hawker;AGSH;Amphibian;Piston;1;L
175;AERO-DIFUSION;Compostela;D11;LandPlane;Piston;1;L
176;AERO-DIFUSION;D-112 Popuplane;D11;LandPlane;Piston;1;L
177;AERO-DIFUSION;D-119 Popuplane;D11;LandPlane;Piston;1;L
178;AERO-DIFUSION;D-1190S Compostela;D11;LandPlane;Piston;1;L
179;AERO-DIFUSION;Popuplane;D11;LandPlane;Piston;1;L
180;AERO-EAST-EUROPE;MPX-158 Embera;MX58;LandPlane;Piston;1;L
181;AERO-EAST-EUROPE;Embera;MX58;LandPlane;Piston;1;L
182;AERO-EAST-EUROPE;MXP-155 Tayrona;MX1T;LandPlane;Piston;1;L
183;AERO-EAST-EUROPE;Tayrona;MX1T;LandPlane;Piston;1;L
184;AERO-EAST-EUROPE;SILA-450;S450;LandPlane;Piston;1;L
185;AERO-JODEL;D-11;D11;LandPlane;Piston;1;L
186;AERO-KROS;MP-02 Czajka;MP02;LandPlane;Piston;1;L
187;AERO-KROS;Czajka;MP02;LandPlane;Piston;1;L
188;AEROALCOOL;Quasar Lite;QUAS;LandPlane;Piston;1;L
189;AEROANDINA;Fantasy;MX80;LandPlane;Piston;1;L
190;AEROANDINA;MXP-800 Fantasy;MX80;LandPlane;Piston;1;L
191;AEROANDINA;MXP-1000 Tayrona;MX1T;LandPlane;Piston;1;L
192;AEROANDINA;Tayrona;MX1T;LandPlane;Piston;1;L
193;AEROANDINA;MXP-150 Kimbaya;MX1T;LandPlane;Piston;1;L
194;AEROANDINA;Kimbaya;MX1T;LandPlane;Piston;1;L
195;AEROANDINA;Embera;MX58;LandPlane;Piston;1;L
196;AEROBRAVO;Bravo;CH70;LandPlane;Piston;1;L
197;AEROCAD;AeroCanard;COZY;LandPlane;Piston;1;L
198;AEROCAR;Aerocar;CAR;LandPlane;Piston;1;L
199;AEROCAR;Coot;COOT;Amphibian;Piston;1;L
200;AEROCAR;Mini-Imp;MIMP;LandPlane;Piston;1;L
201;AEROCAR;Super Coot;COOT;Amphibian;Piston;1;L
202;AEROCOMP;CA-3 Comp Air 3;CA3;LandPlane;Piston;1;L
203;AEROCOMP;CA-4 Comp Air 4;CA4;LandPlane;Piston;1;L
204;AEROCOMP;CA-4 Comp Monster;CA4;LandPlane;Piston;1;L
205;AEROCOMP;CA-6 Comp Air 6;CA6;LandPlane;Piston;1;L
206;AEROCOMP;CA-7P Comp Air 7P;CA7P;LandPlane;Piston;1;L
207;AEROCOMP;CA-7SL Comp Air 7SL;CA7P;LandPlane;Piston;1;L
208;AEROCOMP;CA-7SLX Comp Air 7SLX;CA7T;LandPlane;Turboprop/Turboshaft;1;L
209;AEROCOMP;CA-7T Comp Air 7T;CA7T;LandPlane;Turboprop/Turboshaft;1;L
210;AEROCOMP;CA-8 Comp Air 8;CA8;LandPlane;Turboprop/Turboshaft;1;L
211;AEROCOMP;CA-10 Comp Air 10;CA1P;LandPlane;Piston;1;L
212;AEROCOMP;CA-10T Comp Air 10T;CA1T;LandPlane;Turboprop/Turboshaft;1;L
213;AEROCOMP;CA-10XLT Comp Air 10XLT;CA1T;LandPlane;Turboprop/Turboshaft;1;L
214;AEROCOMP;CA-J Comp Air Jet;CAJ;LandPlane;Jet;1;L
215;AEROCOMP;Comp Air 3;CA3;LandPlane;Piston;1;L
216;AEROCOMP;Comp Air 4;CA4;LandPlane;Piston;1;L
217;AEROCOMP;Comp Air 6;CA6;LandPlane;Piston;1;L
218;AEROCOMP;Comp Air 7P;CA7P;LandPlane;Piston;1;L
219;AEROCOMP;Comp Air 7SL;CA7P;LandPlane;Piston;1;L
220;AEROCOMP;Comp Air 7SLX;CA7T;LandPlane;Turboprop/Turboshaft;1;L
221;AEROCOMP;Comp Air 7T;CA7T;LandPlane;Turboprop/Turboshaft;1;L
222;AEROCOMP;Comp Air 8;CA8;LandPlane;Turboprop/Turboshaft;1;L
223;AEROCOMP;Comp Air 10;CA1P;LandPlane;Piston;1;L
224;AEROCOMP;Comp Air 10T;CA1T;LandPlane;Turboprop/Turboshaft;1;L
225;AEROCOMP;Comp Air Jet;CAJ;LandPlane;Jet;1;L
226;AEROCOMP;Comp Monster;CA4;LandPlane;Piston;1;L
227;AEROCOMP;E-Z Flyer;EZFL;LandPlane;Piston;1;L
228;AEROCOMP;Merlin;MAME;LandPlane;Piston;1;L
229;AERODIS;G-802 Orion;G800;LandPlane;Piston;1;L
230;AERODIS;Orion;G800;LandPlane;Piston;1;L
231;AERODYNOS;Evolution;J177;LandPlane;Piston;1;L
232;AERODYNOS;JA-177 Evolution;J177;LandPlane;Piston;1;L
233;AERODYNOS;JA-177 Pingouin;J177;LandPlane;Piston;1;L
234;AERODYNOS;Pingouin;J177;LandPlane;Piston;1;L
235;AEROJAMES;01 Isatis;ISAT;LandPlane;Piston;1;L
236;AEROJAMES;Isatis;ISAT;LandPlane;Piston;1;L
237;AEROKOPTER;AK-1;ZA6;Helicopter;Piston;1;L
238;AEROKOPTER;ZA-6 Sanka;ZA6;Helicopter;Piston;1;L
239;AEROKOPTER;Sanka;ZA6;Helicopter;Piston;1;L
240;AEROLAB;LoCamp;LOCA;LandPlane;Piston;1;L
241;AEROLITES;AeroSkiff;SKIF;Amphibian;Piston;1;L
242;AEROMERE;F-8L Falco;F8L;LandPlane;Piston;1;L
243;AEROMERE;Falco;F8L;LandPlane;Piston;1;L
244;AEROMOT;AMT-100 Ximango;RF10;LandPlane;Piston;1;L
245;AEROMOT;AMT-200 Super Ximango;RF10;LandPlane;Piston;1;L
246;AEROMOT;AMT-300 Turbo Ximango Shark;RF10;LandPlane;Piston;1;L
247;AEROMOT;AMT-600 Guri;GURI;LandPlane;Piston;1;L
248;AEROMOT;Guri;GURI;LandPlane;Piston;1;L
249;AEROMOT;Super Ximango;RF10;LandPlane;Piston;1;L
250;AEROMOT;TG-14 Super Ximango;RF10;LandPlane;Piston;1;L
251;AEROMOT;Turbo Ximango Shark;RF10;LandPlane;Piston;1;L
252;AEROMOT;Ximango;RF10;LandPlane;Piston;1;L
253;AERONCA;7AC Champion;CH7A;LandPlane;Piston;1;L
254;AERONCA;7BCM;CH7A;LandPlane;Piston;1;L
255;AERONCA;7CC Champion;CH7A;LandPlane;Piston;1;L
256;AERONCA;7CCM;CH7A;LandPlane;Piston;1;L
257;AERONCA;7DC Champion;CH7A;LandPlane;Piston;1;L
258;AERONCA;7EC Traveler;CH7A;LandPlane;Piston;1;L
259;AERONCA;11 Chief;AR11;LandPlane;Piston;1;L
260;AERONCA;15 Sedan;AR15;LandPlane;Piston;1;L
261;AERONCA;Champion;CH7A;LandPlane;Piston;1;L
262;AERONCA;L-16;CH7A;LandPlane;Piston;1;L
263;AERONCA;Sedan;AR15;LandPlane;Piston;1;L
264;AERONCA;Traveler;CH7A;LandPlane;Piston;1;L
265;AERONCA;Chief (11);AR11;LandPlane;Piston;1;L
266;AERONCA;K Scout;AERK;LandPlane;Piston;1;L
267;AERONCA;K Sea Scout;AERK;LandPlane;Piston;1;L
268;AERONCA;CF Scout;AERK;LandPlane;Piston;1;L
269;AERONCA;Scout;AERK;LandPlane;Piston;1;L
270;AERONCA;Sea Scout;AERK;LandPlane;Piston;1;L
271;AERONCA;50 Chief;AR50;LandPlane;Piston;1;L
272;AERONCA;Chief (50);AR50;LandPlane;Piston;1;L
273;AERONCA;65 Super Chief;AR65;LandPlane;Piston;1;L
274;AERONCA;Super Chief;AR65;LandPlane;Piston;1;L
275;AERONCA;50 Tandem;AR5T;LandPlane;Piston;1;L
276;AERONCA;Tandem (50);AR5T;LandPlane;Piston;1;L
277;AERONCA;60 Tandem;AR6T;LandPlane;Piston;1;L
278;AERONCA;Tandem (60);AR6T;LandPlane;Piston;1;L
279;AERONCA;65 Tandem;AR6T;LandPlane;Piston;1;L
280;AERONCA;Tandem (65);AR6T;LandPlane;Piston;1;L
281;AERONCA;65 Defender;AR6T;LandPlane;Piston;1;L
282;AERONCA;Defender;AR6T;LandPlane;Piston;1;L
283;AERONCA;YO-58 Grasshopper;AR6T;LandPlane;Piston;1;L
284;AERONCA;O-58 Grasshopper;AR6T;LandPlane;Piston;1;L
285;AERONCA;L-3 Grasshopper;AR6T;LandPlane;Piston;1;L
286;AERONCA;Grasshopper;AR6T;LandPlane;Piston;1;L
287;AERONIX;Airelle;AIRL;LandPlane;Piston;2;L
288;AEROPLASTIKA;LAK-X;LAKX;LandPlane;Piston;1;L
289;AEROPRACT;A-19;A19;LandPlane;Piston;1;L
290;AEROPRACT;A-21 Solo;A21;LandPlane;Piston;1;L
291;AEROPRACT;A-23 Dragon;A23;LandPlane;Piston;1;L
292;AEROPRACT;A-25 Breeze;A25;Amphibian;Piston;1;L
293;AEROPRACT;A-27;A27;LandPlane;Piston;1;L
294;AEROPRACT;A-37;AA37;LandPlane;Piston;2;L
295;AEROPRACT;Breeze;A25;Amphibian;Piston;1;L
296;AEROPRACT;Dragon;A23;LandPlane;Piston;1;L
297;AEROPRACT;Solo;A21;LandPlane;Piston;1;L
298;AEROPRAKT;A-20;AP20;LandPlane;Piston;1;L
299;AEROPRAKT;A-20 Sky Cruiser;AP20;LandPlane;Piston;1;L
300;AEROPRAKT;A-20 Super Cruiser;AP20;LandPlane;Piston;1;L
301;AEROPRAKT;A-20 Varlet;AP20;LandPlane;Piston;1;L
302;AEROPRAKT;A-20 Vista;AP20;LandPlane;Piston;1;L
303;AEROPRAKT;A-22;AP22;LandPlane;Piston;1;L
304;AEROPRAKT;A-22 Foxbat;AP22;LandPlane;Piston;1;L
305;AEROPRAKT;A-22 Valor;AP22;LandPlane;Piston;1;L
306;AEROPRAKT;A-22 Vision;AP22;LandPlane;Piston;1;L
307;AEROPRAKT;A-24 Viking;AP24;Amphibian;Piston;1;L
308;AEROPRAKT;A-26 Twin Vista;AP26;LandPlane;Piston;2;L
309;AEROPRAKT;A-28 Victor;AP28;LandPlane;Piston;2;L
310;AEROPRAKT;A-36 Vulcan;AP36;LandPlane;Piston;2;L
311;AEROPRAKT;Foxbat;AP22;LandPlane;Piston;1;L
312;AEROPRAKT;SA-20 Vista;AP20;LandPlane;Piston;1;L
313;AEROPRAKT;SA-26 Twin Vista;AP26;LandPlane;Piston;2;L
314;AEROPRAKT;SA-28 Victor;AP28;LandPlane;Piston;2;L
315;AEROPRAKT;Sky Cruiser;AP20;LandPlane;Piston;1;L
316;AEROPRAKT;Super Cruiser;AP20;LandPlane;Piston;1;L
317;AEROPRAKT;Twin Vista;AP26;LandPlane;Piston;2;L
318;AEROPRAKT;Valor;AP22;LandPlane;Piston;1;L
319;AEROPRAKT;Varlet;AP20;LandPlane;Piston;1;L
320;AEROPRAKT;Victor;AP28;LandPlane;Piston;2;L
321;AEROPRAKT;Viking;AP24;Amphibian;Piston;1;L
322;AEROPRAKT;Vision;AP22;LandPlane;Piston;1;L
323;AEROPRAKT;Vista;AP20;LandPlane;Piston;1;L
324;AEROPRAKT;Vulcan;AP36;LandPlane;Piston;2;L
325;AEROPRAKT;A-32 Vixxen;AP32;LandPlane;Piston;1;L
326;AEROPRAKT;Vixxen;AP32;LandPlane;Piston;1;L
327;AEROPRAKT;A-22 Sharik;AP22;LandPlane;Piston;1;L
328;AEROPRAKT;Sharik;AP22;LandPlane;Piston;1;L
329;AEROPRO;Eurofox;EFOX;LandPlane;Piston;1;L
330;AEROPROGRESS;Aist-2;T411;LandPlane;Piston;1;L
331;AEROPROGRESS;Grach;T101;LandPlane;Turboprop/Turboshaft;1;L
332;AEROPROGRESS;T-101 Grach;T101;LandPlane;Turboprop/Turboshaft;1;L
333;AEROPROGRESS;T-411 Aist-2;T411;LandPlane;Piston;1;L
334;AEROPUP;Aeropup;APUP;LandPlane;Piston;1;L
335;AERORIC;Dingo;DNGO;Amphibian;Turboprop/Turboshaft;1;L
336;AEROS;Flamingo;UL2F;LandPlane;Piston;1;L
337;AEROS;UL-2000 Flamingo;UL2F;LandPlane;Piston;1;L
338;AEROSAMARA;El'brus;F41E;LandPlane;Piston;2;L
339;AEROSAMARA;Katran;KATR;LandPlane;Piston;1;L
340;AEROSAMARA;F-41 El'brus;F41E;LandPlane;Piston;2;L
341;AEROSETTE;MH-46 Eclipse;MH46;LandPlane;Piston;1;L
342;AEROSETTE;Eclipse;MH46;LandPlane;Piston;1;L
343;AEROSPATIALE;Alouette 2;ALO2;Helicopter;Turboprop/Turboshaft;1;L
344;AEROSPATIALE;Alouette 3;ALO3;Helicopter;Turboprop/Turboshaft;1;L
345;AEROSPATIALE;AS-332B1 Super Puma;AS32;Helicopter;Turboprop/Turboshaft;2;M
346;AEROSPATIALE;AS-332B Super Puma;AS32;Helicopter;Turboprop/Turboshaft;2;M
347;AEROSPATIALE;AS-332C Super Puma;AS32;Helicopter;Turboprop/Turboshaft;2;M
348;AEROSPATIALE;AS-332F1 Super Puma;AS32;Helicopter;Turboprop/Turboshaft;2;M
349;AEROSPATIALE;AS-332L1 Super Puma;AS32;Helicopter;Turboprop/Turboshaft;2;M
350;AEROSPATIALE;AS-332L2 Super Puma Mk2;AS3B;Helicopter;Turboprop/Turboshaft;2;M
351;AEROSPATIALE;AS-332L Super Puma;AS32;Helicopter;Turboprop/Turboshaft;2;M
352;AEROSPATIALE;AS-332L Tiger;AS32;Helicopter;Turboprop/Turboshaft;2;M
353;AEROSPATIALE;AS-332M1 Super Puma;AS32;Helicopter;Turboprop/Turboshaft;2;M
354;AEROSPATIALE;AS-332M Super Puma;AS32;Helicopter;Turboprop/Turboshaft;2;M
355;AEROSPATIALE;AS-350 AStar;AS50;Helicopter;Turboprop/Turboshaft;1;L
356;AEROSPATIALE;AS-350 Ecureuil;AS50;Helicopter;Turboprop/Turboshaft;1;L
357;AEROSPATIALE;AS-350 SuperStar;AS50;Helicopter;Turboprop/Turboshaft;1;L
358;AEROSPATIALE;AS-355 Ecureuil 2;AS55;Helicopter;Turboprop/Turboshaft;2;L
359;AEROSPATIALE;AS-355 TwinStar;AS55;Helicopter;Turboprop/Turboshaft;2;L
360;AEROSPATIALE;AS-365 Dauphin 2;AS65;Helicopter;Turboprop/Turboshaft;2;L
361;AEROSPATIALE;AS-366 Dolphin;AS65;Helicopter;Turboprop/Turboshaft;2;L
362;AEROSPATIALE;AS-532A2 Cougar Mk2;AS3B;Helicopter;Turboprop/Turboshaft;2;M
363;AEROSPATIALE;AS-532SC Cougar;AS32;Helicopter;Turboprop/Turboshaft;2;M
364;AEROSPATIALE;AS-532U2 Cougar Mk2;AS3B;Helicopter;Turboprop/Turboshaft;2;M
365;AEROSPATIALE;AS-532UC Cougar;AS32;Helicopter;Turboprop/Turboshaft;2;M
366;AEROSPATIALE;AS-532UL Cougar;AS32;Helicopter;Turboprop/Turboshaft;2;M
367;AEROSPATIALE;AS-550 Fennec;AS50;Helicopter;Turboprop/Turboshaft;1;L
368;AEROSPATIALE;AS-555 Fennec;AS55;Helicopter;Turboprop/Turboshaft;2;L
369;AEROSPATIALE;AS-565 Panther;AS65;Helicopter;Turboprop/Turboshaft;2;L
370;AEROSPATIALE;AStar;AS50;Helicopter;Turboprop/Turboshaft;1;L
