Norma	Data da publicação	Norma-URL	Ementa	Arquivo-URL	tag
IS 21-019A	2020-10-10	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-21-019	Substituição de Tecidos, Espumas e Tapetes em Interiores de Aeronaves	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-21-019/@@display-file/arquivo_norma/IS 21-019A.pdf	
IS 21-021B	2020-06-16	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-21-021	Apresentação de Dados Requeridos para Certificação Suplementar de Tipo.	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-21-021/@@display-file/arquivo_norma/IS21-021B.pdf	
IS 21.17-2A	2012-10-06	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-21-17-2	Certificação de aeronavegabilidade de planadores e motoplanadores.	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-21-17-2/@@display-file/arquivo_norma/IS 21.17-2A.pdf	21.17
IS 21.181-001E	2020-08-08	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-21-181-001	Validade de Certificados de Aeronavegabilidade - CA.	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-21-181-001/@@display-file/arquivo_norma/IS21.181-001E.pdf	21.181
IS 21.191-001A	2012-10-05	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-21-191-001	Aeronaves de construção amadora.	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-21-191-001/@@display-file/arquivo_norma/IS21.191-001A.pdf	21.191
IS 21.191-002A	2017-12-24	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-21-191-002	Aeronaves históricas.	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-21-191-002/@@display-file/arquivo_norma/IS 21.191-002A.pdf	21.191
IS 21.231-001A	2019-11-09	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-21-231-001	Certificação de Organização de Projeto.	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-21-231-001/@@display-file/arquivo_norma/IS21.231-001A.pdf	21.231
IS 23-001A	2017-04-29	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-23-001	Execução de Ensaios em Voo para Avaliação de Desempenho de Equipamentos de Comunicação em VHF (VHF-COMM) instalados em Aeronaves certificadas segundo o RBAC 23.	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-23-001/@@display-file/arquivo_norma/IS 23-001A.pdf	
IS 23-002A	2010-08-07	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-23-002	Aviões categoria normal, utilidade, acrobática e transporte regional, modificados para transporte de carga. (Arquivo substituído em 24 de outubro de 2012 - Retificação DOU 24/20/2012).	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-23-002/@@display-file/arquivo_norma/IS 23-002A.pdf	
IS 39.19-001A	2016-08-20	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-39-19-001	Método Alternativo de Cumprimento de uma Diretriz de Aeronavegabilidade.	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-39-19-001/@@display-file/arquivo_norma/IS39.19-001A.pdf	39.19
